district_name,state,enrollment,daily_instructional_minutes,lct_minutes,student_teacher_ratio
Evanston CCSD 65,IL,6273.0,390,39.83,9.8
PUERTO RICO DEPARTMENT OF EDUCATION,PR,240910.0,360,36.75,9.8
Pittsburgh SD,PA,19769.0,345,30.33,11.4
DALLAS ISD,TX,139246.0,380,28.03,13.6
Evanston Twp HSD 202,IL,3586.0,360,26.81,13.4
Chicago Public Schools Dist 299,IL,322809.0,360,25.91,13.9
CYPRESS-FAIRBANKS ISD,TX,118470.0,380,25.82,14.7
Fairfax County Public Schools,VA,180714.0,345,25.14,13.7
HOUSTON ISD,TX,184109.0,390,24.97,15.6
Philadelphia City SD,PA,117907.0,331,24.25,13.6
